区分,サービス名,契約ライセンス数,アクティブ利用者数,単価(円/月),年間コスト(円),管理部門,IT部門承認
SaaS,Microsoft 365 E3,620,480,1800,13392000,情報システム部,承認済
SaaS,Autodesk AEC Collection,120,62,32000,46080000,設計部,承認済
SaaS,Salesforce Sales Cloud,90,51,19800,21384000,営業本部,承認済
SaaS,Box Business,700,690,1980,16632000,情報システム部,承認済
SaaS,Slack Pro,180,44,1050,2268000,（不明）,未承認
SaaS,Notion Plus,95,22,1500,1710000,（不明）,未承認
SaaS,Figma Professional,40,8,1800,864000,（不明）,未承認
SaaS,Miro Business,60,11,1600,1152000,（不明）,未承認
SaaS,Zoom Pro,250,96,2125,6375000,（不明）,未承認
SaaS,Dropbox Business,80,9,1800,1728000,（不明）,未承認
SaaS,Asana Premium,55,6,1475,973500,（不明）,未承認
IaaS,AWS（本番）,0,0,0,58200000,情報システム部,承認済
IaaS,AWS（検証・停止漏れ）,0,0,0,9840000,（不明）,未承認
